ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,callSmvVol,putSmvVol,extSmvVol,extCallValue,extPutValue,spotPrice,quoteDate,updatedAt
SPY,2021-04-15,2021-04-16,2,270,415.69,0,0,20,20,0,3073,0,4849,145.64,145.69000000000008,145.72,0,0,0.01,0,2.9693350478998926,2.9693350478998926,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,145.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,271,415.69,0,0,84,114,0,3559,0,4853,144.64,144.69000000000008,144.72,0,0,0.01,0,2.863173268169253,2.863173268169253,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,144.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,272,415.69,0,0,85,115,0,2281,0,4842,143.64,143.69000000000008,143.72,0,0,0.01,0,2.9222412124644057,2.9222412124644057,0.283,0,2.585588439770363,2.585588439770363,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,143.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,273,415.69,0,0,86,115,0,3967,0,4840,142.64,142.69000000000008,142.72,0,0,0.01,0,2.8988252723057784,2.8988252723057784,0.283,0,2.564695507649446,2.564695507649446,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,142.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,274,415.69,0,0,87,116,0,3319,0,4841,141.64,141.69000000000008,141.72,0,0,0.01,0,2.8754947339700596,2.8754947339700596,0.283,0,2.54387972382721,2.54387972382721,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,141.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,275,415.69,0,12,88,116,0,4720,0,4837,140.64,140.69000000000008,140.72,0,0,0.01,0,2.852252394070864,2.852252394070864,0.283,0,2.5231405208866695,2.5231405208866695,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,140.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,276,415.69,0,0,89,117,0,3339,0,4832,139.64,139.69000000000008,139.72,0,0,0.01,0,2.829093002660908,2.829093002660908,0.283,0,2.5024773376115754,2.5024773376115754,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,139.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,277,415.69,0,0,90,117,0,1717,0,4827,138.64,138.69000000000008,138.72,0,0,0.01,0,2.8060170932270676,2.8060170932270676,0.283,0,2.481889618895622,2.481889618895622,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,138.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,278,415.69,0,0,91,117,0,1731,0,4821,137.64,137.69000000000008,137.72,0,0,0.01,0,2.7830267827918846,2.7830267827918846,0.283,0,2.4613768156528724,2.4613768156528724,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,137.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,279,415.69,0,0,91,117,0,1493,0,4818,136.64,136.69000000000008,136.72,0,0,0.01,0,2.7601180607969447,2.7601180607969447,0.283,0,2.440938384730217,2.440938384730217,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,136.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
